0	0
16	0
32	825
48	808
64	452
80	319
96	111
112	251
128	135
144	126
160	66
176	60
192	49
208	77
224	31
240	46
256	45
272	62
288	47
304	44
320	43
336	74
352	78
368	65
384	72
400	75
416	92
432	84
448	83
464	54
480	55
496	103
512	73
528	152
544	71
560	95
576	142
592	50
608	85
624	56
640	46
656	53
672	52
688	79
704	69
720	113
736	54
752	75
768	44
784	85
800	77
816	79
832	86
848	150
864	74
880	78
896	192
912	156
928	79
944	96
960	90
976	108
992	77
1008	97
1024	157
1040	127
1056	127
1072	158
1088	103
1104	106
1120	95
1136	107
1152	165
1168	119
1184	128
1200	132
1216	152
1232	121
1248	190
1264	111
1280	207
1296	117
1312	190
1328	229
1344	257
1360	152
1376	185
1392	279
1408	293
1424	251
1440	379
1456	306
1472	231
1488	239
1504	247
1520	209
1536	241
1552	296
1568	273
1584	322
1600	369
1616	257
1632	308
1648	395
1664	253
1680	502
1696	319
1712	389
1728	380
1744	346
1760	524
1776	381
1792	323
1808	385
1824	350
1840	452
1856	525
1872	320
1888	425
1904	444
1920	437
1936	508
1952	332
1968	291
1984	225
2000	272
2016	250
2032	357
2048	296
2064	236
2080	234
2096	362
2112	499
2128	234
2144	346
2160	318
2176	376
2192	231
2208	316
2224	257
2240	243
2256	229
2272	189
2288	181
2304	208
2320	121
2336	149
2352	138
2368	171
2384	131
2400	139
2416	218
2432	188
2448	139
2464	156
2480	150
2496	170
2512	182
2528	147
2544	131
2560	111
2576	225
2592	120
2608	123
2624	148
2640	150
2656	161
2672	133
2688	106
2704	98
2720	127
2736	82
2752	93
2768	84
2784	50
2800	43
2816	62
2832	37
2848	46
2864	42
2880	16
2896	26
2912	16
2928	54
2944	85
2960	30
2976	24
2992	21
3008	16
3024	13
3040	28
3056	19
3072	17
3088	21
3104	21
3120	18
3136	11
3152	9
3168	15
3184	12
3200	12
3216	8
3232	6
3248	6
3264	7
3280	9
3296	10
3312	18
3328	2
3344	1
3360	6
3376	9
3392	4
3408	7
3424	2
3440	3
3456	11
3472	1
3488	8
3504	3
3520	6
3536	7
3552	3
3568	13
3584	36
3600	11
3616	39
3632	5
3648	26
3664	3
3680	7
3696	8
3712	27
3728	13
3744	12
3760	12
3776	16
3792	14
3808	6
3824	5
3840	18
3856	15
3872	14
3888	7
3904	13
3920	19
3936	12
3952	15
3968	17
3984	5
4000	7
4016	4
4032	1
4048	6
4064	3
4080	0
# Total: R=186305	W=34834
# % pages with compress ratio <= 50%: 71
# No. of pages with compress length >= 4096: 93
